task	run	trial	onset	item	fixtime	fixcol	resp	acc	rt
2	1	1	12	2	0.900	1	1	1	0.499
2	1	2	16	10	0.550	2	2	1	0.316
2	1	3	20	12	0.750	1	1	1	0.291
2	1	4	24	3	0.300	2	2	1	0.281
2	1	5	28	13	0.750	2	1	0	0.293
2	1	6	32	9	0.400	1	1	1	0.397
2	1	7	36	NaN	NaN	NaN	NaN	NaN	NaN
2	1	8	40	6	0.300	1	1	1	0.500
2	1	9	44	NaN	NaN	NaN	NaN	NaN	NaN
2	1	10	48	NaN	NaN	NaN	NaN	NaN	NaN
2	1	11	52	NaN	NaN	NaN	NaN	NaN	NaN
2	1	12	56	11	0.350	1	1	1	0.441
2	1	13	60	4	0.700	1	1	1	0.385
2	1	14	64	8	0.850	1	1	1	0.325
2	1	15	68	1	0.500	1	1	1	0.310
2	1	16	72	5	0.500	1	1	1	0.346
2	1	17	76	7	0.550	1	1	1	0.341
2	1	18	80	8	0.750	2	2	1	0.368
2	1	19	84	NaN	NaN	NaN	NaN	NaN	NaN
2	1	20	88	1	0.750	1	1	1	0.426
2	1	21	92	10	0.250	2	2	1	0.422
2	1	22	96	12	0.450	1	1	1	0.315
2	1	23	100	3	0.650	2	2	1	0.291
2	1	24	104	4	0.200	1	1	1	0.371
2	1	25	108	11	0.250	1	1	1	0.521
2	1	26	112	13	0.650	1	1	1	0.367
2	1	27	116	6	0.550	2	2	1	0.367
2	1	28	120	7	0.350	2	2	1	0.527
2	1	29	124	2	0.700	2	2	1	0.332
2	1	30	128	9	0.700	2	2	1	0.400
2	1	31	132	5	0.450	2	2	1	0.321
2	1	32	136	8	0.850	2	2	1	0.353
2	1	33	140	5	0.450	2	2	1	0.628
2	1	34	144	NaN	NaN	NaN	NaN	NaN	NaN
2	1	35	148	4	0.400	1	1	1	0.407
2	1	36	152	11	0.650	1	1	1	0.315
2	1	37	156	13	0.650	1	1	1	0.368
2	1	38	160	10	0.550	2	2	1	0.363
2	1	39	164	NaN	NaN	NaN	NaN	NaN	NaN
2	1	40	168	12	0.650	1	1	1	0.340
2	1	41	172	6	0.250	2	2	1	0.425
2	1	42	176	NaN	NaN	NaN	NaN	NaN	NaN
2	1	43	180	1	0.750	1	1	1	0.323
2	1	44	184	9	0.300	1	1	1	0.333
2	1	45	188	2	0.750	2	2	1	0.279
2	1	46	192	NaN	NaN	NaN	NaN	NaN	NaN
2	1	47	196	3	0.100	2	2	1	0.349
2	1	48	200	7	0.200	2	2	1	0.340
2	1	49	204	8	0.200	1	1	1	0.352
2	1	50	208	NaN	NaN	NaN	NaN	NaN	NaN
2	1	51	212	NaN	NaN	NaN	NaN	NaN	NaN
2	1	52	216	11	0.700	1	1	1	0.512
2	1	53	220	12	0.650	1	1	1	0.367
2	1	54	224	NaN	NaN	NaN	NaN	NaN	NaN
2	1	55	228	5	0.600	2	2	1	0.385
2	1	56	232	3	0.600	1	1	1	0.467
2	1	57	236	6	0.750	2	2	1	0.386
2	1	58	240	9	0.400	2	2	1	0.295
2	1	59	244	1	0.750	2	2	1	0.383
2	1	60	248	10	0.600	2	2	1	0.258
2	1	61	252	NaN	NaN	NaN	NaN	NaN	NaN
2	1	62	256	7	0.700	2	2	1	0.453
2	1	63	260	13	0.150	1	1	1	0.623
2	1	64	264	2	0.700	2	2	1	0.377
2	1	65	268	4	0.550	2	2	1	0.508
