task	run	trial	onset	item	fixtime	fixcol	resp	acc	rt
1	2	1	12	12	0.300	1	1	1	0.326
1	2	2	16	NaN	NaN	NaN	NaN	NaN	NaN
1	2	3	20	8	0.650	1	1	1	0.392
1	2	4	24	9	0.300	2	2	1	0.376
1	2	5	28	6	0.250	1	1	1	0.336
1	2	6	32	13	0.900	1	1	1	0.388
1	2	7	36	7	0.400	1	1	1	0.364
1	2	8	40	10	0.850	1	1	1	0.347
1	2	9	44	1	0.750	2	2	1	0.315
1	2	10	48	4	0.450	1	1	1	0.298
1	2	11	52	11	0.100	1	1	1	0.498
1	2	12	56	3	0.750	2	2	1	0.356
1	2	13	60	5	0.450	2	2	1	0.350
1	2	14	64	NaN	NaN	NaN	NaN	NaN	NaN
1	2	15	68	2	0.750	2	2	1	0.267
1	2	16	72	12	0.350	2	2	1	0.395
1	2	17	76	NaN	NaN	NaN	NaN	NaN	NaN
1	2	18	80	11	0.500	1	1	1	0.267
1	2	19	84	13	0.600	2	2	1	0.322
1	2	20	88	NaN	NaN	NaN	NaN	NaN	NaN
1	2	21	92	10	0.300	1	1	1	0.266
1	2	22	96	NaN	NaN	NaN	NaN	NaN	NaN
1	2	23	100	NaN	NaN	NaN	NaN	NaN	NaN
1	2	24	104	NaN	NaN	NaN	NaN	NaN	NaN
1	2	25	108	3	0.350	2	2	1	0.311
1	2	26	112	1	0.250	2	2	1	0.329
1	2	27	116	5	0.900	2	1	0	0.290
1	2	28	120	6	0.400	2	2	1	0.371
1	2	29	124	7	0.100	1	1	1	0.528
1	2	30	128	4	0.200	1	1	1	0.499
1	2	31	132	9	0.550	1	1	1	0.401
1	2	32	136	8	0.400	1	1	1	0.415
1	2	33	140	2	0.550	1	1	1	0.405
1	2	34	144	4	0.900	1	1	1	0.305
1	2	35	148	NaN	NaN	NaN	NaN	NaN	NaN
1	2	36	152	NaN	NaN	NaN	NaN	NaN	NaN
1	2	37	156	10	0.150	2	2	1	0.414
1	2	38	160	11	0.150	1	1	1	0.500
1	2	39	164	9	0.350	1	1	1	0.390
1	2	40	168	NaN	NaN	NaN	NaN	NaN	NaN
1	2	41	172	1	0.850	2	2	1	0.371
1	2	42	176	5	0.500	2	2	1	0.384
1	2	43	180	6	0.450	2	2	1	0.331
1	2	44	184	2	0.750	2	2	1	0.406
1	2	45	188	12	0.800	1	2	0	0.271
1	2	46	192	7	0.750	1	1	1	0.291
1	2	47	196	13	0.450	1	1	1	0.342
1	2	48	200	3	0.100	1	1	1	0.406
1	2	49	204	NaN	NaN	NaN	NaN	NaN	NaN
1	2	50	208	8	0.150	1	1	1	0.365
1	2	51	212	9	0.600	2	2	1	0.377
1	2	52	216	NaN	NaN	NaN	NaN	NaN	NaN
1	2	53	220	5	0.800	2	2	1	0.327
1	2	54	224	3	0.850	2	2	1	0.491
1	2	55	228	6	0.500	1	1	1	0.300
1	2	56	232	7	0.700	2	2	1	0.349
1	2	57	236	12	0.400	1	1	1	0.291
1	2	58	240	4	0.500	2	2	1	0.291
1	2	59	244	NaN	NaN	NaN	NaN	NaN	NaN
1	2	60	248	10	0.100	2	2	1	0.531
1	2	61	252	13	0.400	2	2	1	0.304
1	2	62	256	8	0.450	2	2	1	0.345
1	2	63	260	11	0.250	2	2	1	0.343
1	2	64	264	2	0.900	1	1	1	0.256
1	2	65	268	1	0.550	2	2	1	0.292
