ev_001	ev_002	ev_003	ev_004	ev_005	ev_006	ev_007	ev_008	ev_009	ev_010	ev_011	ev_012	ev_013
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0003131644160335499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.1016845993924029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.3273918261923549	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00031300408283735	0.0	0.0	0.0
0.0	0.27552660874122004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10167415852877464	0.0	0.0	0.0
0.0	0.07781329235596321	0.0	0.0	0.0003128437496411371	0.0	0.0	0.0	0.0	0.3273869164819541	0.0	0.0	0.0
0.0	-0.0567947132904832	0.0	0.0	0.10166371766514556	0.0	0.0	0.0	0.0	0.2755341159008962	0.0	0.0	0.0
0.0	-0.09023914037800455	0.0	0.0	0.3273820067715537	0.0	0.00031268341644493714	0.0	0.0	0.07782143759261761	0.0	0.0	0.0
0.0	-0.06894940229910233	0.0	0.0	0.2755416230605718	0.0	0.10165327680151731	0.0	0.0	-0.05679118855336988	0.0	0.0	0.0
0.0	-0.03847687765182924	0.0	0.0	0.07782958282927267	0.0	0.32737709706115287	0.0	0.00031252308324872426	-0.09023926711613206	0.0	0.0	0.0
0.0	-0.017470043507380035	0.0	0.0	-0.05678766381625628	0.0	0.2755491302202479	0.0	0.10164283593788825	-0.06895076579733865	0.0	0.0	0.0
0.0	-0.006797937763597774	0.0003123627500525374	0.0	-0.09023939385425953	0.0	0.07783772806592641	0.0	0.32737218735075285	-0.038478056681634815	0.0	0.0	0.0
0.0	-0.002340560952727012	0.10163239507426	0.0	-0.06895212929557486	0.0	-0.05678413907914297	0.0	0.2755566373799235	-0.01747071530449219	0.0	0.0	0.0
0.0	-0.0007289772303995055	0.3273672776403516	0.0	-0.03847923571144068	0.0	-0.09023952059238703	0.0	0.07784587330258214	-0.006798240476999437	0.0	0.00031220241685631144	0.0
0.0	-0.00020875186441832858	0.27556414453959904	0.0	-0.017471387101604348	0.0	-0.06895349279381108	0.0	-0.05678061434202965	-0.0023406767000861	0.0	0.10162195421063178	0.0
0.0	-5.5653442091899015e-05	0.07785401853923654	0.0	-0.0067985431904010515	0.0	-0.03848041474124635	0.0	-0.09023964733051452	-0.0007290162627316905	0.0	0.3273623679299512	0.0
0.0	-1.3949946810595586e-05	-0.05677708960491576	0.0	-0.0023407924474452067	0.0	-0.017472058898716614	0.0	-0.0689548562920475	-0.00020876376457667958	0.0	0.27557165169927583	0.0
0.00031188175046391157	-1.9087400918355116e-07	-0.09023977406864202	0.0	-0.0007290552950638757	0.0	-0.006798845903802666	0.0	-0.038481593771052015	-5.565678005669603e-05	0.0	0.07786216377589095	0.0
0.10160107248337359	0.0	-0.06895621979028371	0.0	-0.00020877566473502865	0.0	-0.0023409081948042943	0.0	-0.01747273069582877	-1.3950819480382475e-05	0.0	-0.05677356486780245	0.0
0.3273525485091496	0.0	-0.03848277280085788	0.0	-5.5660118021493585e-05	0.0	-0.0007290943273960671	0.0	-0.006799148617204329	-1.91287993845922e-07	0.0	-0.09023990080676952	0.0
0.27558666601862697	0.0	-0.017473402492940927	0.0	-1.3951692150169364e-05	0.0	-0.00020878756489337773	0.0	-0.0023410239421633823	0.0	0.0	-0.06895758328851993	0.0
0.07787845424920106	0.0	-0.006799451330605943	0.0	-1.917019785082256e-07	0.0	-5.5663455986290595e-05	0.0	-0.0007291333597282523	0.0	0.0	-0.03848395183066354	0.00031156108407148574
-0.05676651539357524	0.0	-0.0023411396895224885	0.0	0.0	0.0	-1.3952564819956395e-05	0.0	-0.00020879946505172875	0.0	0.0	-0.017474074290053192	0.10158019075611542
-0.0902401542830245	0.0	-0.0007291723920604373	0.0	0.0	0.0	-1.921159631705292e-07	0.0	-5.566679395108761e-05	0.0	0.0	-0.006799754044007558	0.32734272908834877
-0.06896031028499257	0.0	-0.0002088113652100778	0.0	0.0	0.0	0.0	0.0	-1.3953437489743283e-05	0.0	0.0	-0.0023412554368815765	0.27560168033797927
-0.03848630989027489	0.0	-5.567013191588465e-05	0.00031124041767908474	0.0	0.0	0.0	0.0	-1.9252994783283586e-07	0.0	0.0	-0.0007292114243926227	0.07789474472250993
-0.017475417884277505	0.0	-1.3954310159530172e-05	0.10155930902885894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.00020882326536842687	-0.056759465919348606
-0.006800359470810835	0.0	-1.9294393249520363e-07	0.32733290966754713	0.0	0.00031108008448286	0.0	0.0	0.0	0.0	0.0	-5.5673469880682175e-05	-0.09024040775927948
-0.002341486931599752	0.0	0.0	0.2756166946573304	0.0	0.1015488681652307	0.0	0.0	0.0	0.0	0.0	-1.395518282931706e-05	-0.068963037281465
